Tsallis-q,EpRewMean,EpThisIter,explained_variance_tdlam_before,meankl,surrgain,EpisodesSoFar,TimestepsSoFar,optimgain,entropy,EpLenMean,entloss,TimeElapsed
1.0,1092.5174590000001,5,0.9859558269381523,0.01184476,0.019702768,2318,356352,0.019702768,7.778472,386.925,0.0,332.80694246292114
1.0,1111.434180475,5,0.9821451306343079,0.0070567885,0.012746222,2323,358400,0.012746222,7.774146,394.75,0.0,334.52470684051514
1.0,1069.29751295,4,0.9839980192482471,0.007826425,0.015435724,2327,360448,0.015435724,7.771972,381.975,0.0,336.24034810066223
1.0,1086.2344622249998,6,0.9835252054035664,0.007017795,0.01397112,2333,362496,0.01397112,7.7689204,384.15,0.0,337.9449722766876
1.0,1107.53960155,6,0.9841210022568703,0.0057514952,0.011024969,2339,364544,0.011024969,7.763306,393.525,0.0,339.6783962249756
1.0,1105.698359625,6,0.9772575050592422,0.009437939,0.020298742,2345,366592,0.020298742,7.7550054,391.35,0.0,341.3787319660187
1.0,1061.6294858249998,6,0.9847170356661081,0.010143764,0.016099868,2351,368640,0.016099868,7.7484126,375.35,0.0,343.10877871513367
1.0,1084.77991035,5,0.9869994278997183,0.010599552,0.014883782,2356,370688,0.014883782,7.7474303,378.3,0.0,345.1341598033905
1.0,1099.877936825,4,0.9796079788357019,0.009672434,0.017425094,2360,372736,0.017425094,7.7446036,385.4,0.0,347.59053134918213
1.0,1089.812737925,5,0.9518971182405949,0.013437899,0.021020912,2365,374784,0.021020912,7.7368145,381.25,0.0,349.5385465621948
1.0,1093.1503493750001,6,0.9849789552390575,0.010421689,0.014318336,2371,376832,0.014318336,7.7330084,382.775,0.0,351.38363003730774
1.0,1090.40682825,4,0.9700005892664194,0.0064282017,0.011715502,2375,378880,0.011715502,7.7292237,384.95,0.0,353.2406961917877
1.0,1119.427988025,5,0.9799405932426453,0.00817648,0.016645994,2380,380928,0.016645994,7.726533,393.925,0.0,355.02603101730347
1.0,1131.6953923249998,6,0.9826496969908476,0.010489609,0.015450881,2386,382976,0.015450881,7.72635,398.925,0.0,357.1030023097992
1.0,1151.7738605999998,6,0.9798004701733589,0.00967389,0.016762786,2392,385024,0.016762786,7.725434,404.675,0.0,359.1198127269745
1.0,1095.211181525,5,0.9552728906273842,0.008256643,0.01716428,2397,387072,0.01716428,7.722564,394.375,0.0,361.9177029132843
1.0,1104.6295538499999,5,0.9775640331208706,0.0057688635,0.014440406,2402,389120,0.014440406,7.7177424,394.525,0.0,364.379230260849
1.0,1093.297362125,5,0.9716764148324728,0.0103041325,0.015665658,2407,391168,0.015665658,7.717039,391.275,0.0,366.9863352775574
1.0,1118.842986275,5,0.9745611604303122,0.009491573,0.018969132,2412,393216,0.018969132,7.725318,394.925,0.0,368.86624026298523
1.0,1078.94565505,6,0.9683769345283508,0.011504327,0.020085383,2418,395264,0.020085383,7.730467,382.375,0.0,371.0729126930237
1.0,1064.9866813,5,0.963662151247263,0.014345787,0.01825905,2423,397312,0.01825905,7.7245183,381.55,0.0,372.8577845096588
1.0,1061.2700214249999,4,0.9491559565067291,0.011392135,0.017924575,2427,399360,0.017924575,7.7193346,380.9,0.0,374.71435594558716
1.0,1088.34166155,6,0.9755123220384121,0.007415396,0.015127953,2433,401408,0.015127953,7.714972,392.625,0.0,376.89435362815857
1.0,1169.738737675,4,0.9749948512762785,0.007847096,0.011547461,2437,403456,0.011547461,7.711418,411.9,0.0,379.3266816139221
1.0,1181.08505975,4,0.9427293203771114,0.0064660935,0.0135238,2441,405504,0.0135238,7.7155757,421.35,0.0,381.60751485824585
1.0,1168.0664937000001,4,0.9530348852276802,0.009892347,0.020280305,2445,407552,0.020280305,7.7215276,430.65,0.0,383.93117928504944
