,0
1609,GILT
1610,GIM
1611,GIPR
1612,GIS
1613,GIW
1614,GIWWW
1615,GJH
1616,GJO
1617,GJP
1618,GJR
1619,GJS
1620,GJT
1621,GKOS
1622,GL
1623,GL^D
1624,GLAD
1625,GLAQ
1626,GLAQU
1627,GLAQW
1628,GLBE
1629,GLBL
1630,GLBLU
1631,GLBLW
1632,GLBS
1633,GLBZ
1634,GLDD
1635,GLDG
1636,GLEE
1637,GLEEU
1638,GLEEW
1639,GLG
1640,GLHA
1641,GLHAU
1642,GLHAW
1643,GLLI
1644,GLLIR
1645,GLLIW
1646,GLMD
1647,GLNG
1648,GLO
1649,GLOB
1650,GLOG^A
1651,GLOP
1652,GLOP^A
1653,GLOP^B
1654,GLOP^C
1655,GLP
1656,GLP^A
1657,GLP^B
1658,GLPG
1659,GLPI
1660,GLQ
1661,GLRE
1662,GLS
1663,GLSI
1664,GLSPT
1665,GLSPU
1666,GLT
1667,GLTA
1668,GLTO
1669,GLU
1670,GLU^A
1671,GLU^B
1672,GLUE
1673,GLV
1674,GLW
1675,GLYC
1676,GM
1677,GMAB
1678,GMBL
1679,GMBLP
1680,GMBLW
1681,GMBLZ
1682,GMDA
1683,GME
